src,dst,travelMinutes,weight
1209,29,2.39,0.8805
29,11087,2.39,0.8804
11087,29,2.39,0.8804
30,10163,0.0,0.9998
10163,30,0.0,0.9998
30,676,0.13,0.9935
676,30,0.13,0.9935
30,6998,1.18,0.9409
6998,30,1.18,0.9409
30,2830,1.4,0.9299
2830,30,1.4,0.9299
30,9272,1.51,0.9247
9272,30,1.51,0.9247
30,12873,1.51,0.9244
12873,30,1.51,0.9244
30,13556,1.82,0.9088
13556,30,1.82,0.9088
30,3301,1.85,0.9074
3301,30,1.85,0.9074
31,4015,2.83,0.8587
4015,31,2.83,0.8587
31,8055,4.48,0.7762
8055,31,4.48,0.7762
31,13453,8.38,0.5812
13453,31,8.38,0.5812
31,4664,8.98,0.5511
4664,31,8.98,0.5511
31,7605,9.22,0.539
7605,31,9.22,0.539
31,7602,10.46,0.477
7602,31,10.46,0.477
31,3872,10.81,0.4595
3872,31,10.81,0.4595
31,7567,11.38,0.431
7567,31,11.38,0.431
32,3636,0.04,0.9982
3636,32,0.04,0.9982
32,13770,6.69,0.6656
13770,32,6.69,0.6656
32,3092,13.8,0.3099
3092,32,13.8,0.3099
32,1044,14.28,0.2862
1044,32,14.28,0.2862
32,12676,14.49,0.2753
12676,32,14.49,0.2753
32,4441,16.19,0.1907
4441,32,16.19,0.1907
32,6202,16.75,0.1625
6202,32,16.75,0.1625
32,12002,17.27,0.1367
12002,32,17.27,0.1367
33,1809,1.3,0.9351
1809,33,1.3,0.9351
33,1102,1.51,0.9243
1102,33,1.51,0.9243
33,4141,1.54,0.9228
4141,33,1.54,0.9228
33,10689,2.85,0.8577
10689,33,2.85,0.8577
33,10717,3.64,0.8181
10717,33,3.64,0.8181
33,2153,3.82,0.809
2153,33,3.82,0.809
33,7717,3.82,0.8089
7717,33,3.82,0.8089
33,2332,4.01,0.7995
2332,33,4.01,0.7995
34,166,0.18,0.9909
166,34,0.18,0.9909
34,13458,0.35,0.9824
13458,34,0.35,0.9824
34,12765,0.41,0.9795
12765,34,0.41,0.9795
34,12256,0.68,0.9658
12256,34,0.68,0.9658
34,12859,1.0,0.9499
12859,34,1.0,0.9499
34,5937,1.51,0.9244
5937,34,1.51,0.9244
34,2042,1.79,0.9104
2042,34,1.79,0.9104
34,3578,3.2,0.84
3578,34,3.2,0.84
35,9233,0.11,0.9944
9233,35,0.11,0.9944
35,1560,0.28,0.9862
1560,35,0.28,0.9862
35,10538,0.56,0.9722
10538,35,0.56,0.9722
35,11349,0.71,0.9647
11349,35,0.71,0.9647
35,10874,1.2,0.9401
10874,35,1.2,0.9401
35,10522,1.48,0.9258
10522,35,1.48,0.9258
35,9254,1.84,0.9082
9254,35,1.84,0.9082
35,3344,2.09,0.8954
3344,35,2.09,0.8954
36,13406,0.23,0.9885
13406,36,0.23,0.9885
36,12908,0.29,0.9855
12908,36,0.29,0.9855
36,13342,0.3,0.9851
13342,36,0.3,0.9851
36,12784,0.5,0.9752
12784,36,0.5,0.9752
36,1270,0.58,0.9711
1270,36,0.58,0.9711
36,4428,0.89,0.9555
4428,36,0.89,0.9555
36,10000,0.89,0.9553
10000,36,0.89,0.9553
36,13062,0.92,0.9541
13062,36,0.92,0.9541
37,6952,0.21,0.9894
6952,37,0.21,0.9894
37,12439,0.38,0.9811
12439,37,0.38,0.9811
37,515,0.39,0.9804
515,37,0.39,0.9804
37,8316,0.61,0.9697
8316,37,0.61,0.9697
37,12569,0.73,0.9634
12569,37,0.73,0.9634
37,10179,0.93,0.9535
10179,37,0.93,0.9535
37,965,1.27,0.9365
965,37,1.27,0.9365
37,11047,1.37,0.9317
11047,37,1.37,0.9317
38,1778,0.19,0.9905
1778,38,0.19,0.9905
38,971,0.56,0.9719
971,38,0.56,0.9719
38,9377,1.37,0.9314
9377,38,1.37,0.9314
38,6229,1.48,0.9259
6229,38,1.48,0.9259
38,3189,1.59,0.9205
3189,38,1.59,0.9205
38,13262,1.6,0.9202
13262,38,1.6,0.9202
38,78,1.72,0.9142
78,38,1.72,0.9142
38,12598,1.78,0.911
12598,38,1.78,0.911
39,12661,0.19,0.9903
12661,39,0.19,0.9903
39,635,1.21,0.9395
635,39,1.21,0.9395
39,13224,1.61,0.9195
13224,39,1.61,0.9195
39,4624,1.63,0.9186
4624,39,1.63,0.9186
39,2276,2.63,0.8684
2276,39,2.63,0.8684
39,12564,2.78,0.861
12564,39,2.78,0.861
39,2553,3.44,0.8278
2553,39,3.44,0.8278
39,173,3.55,0.8226
173,39,3.55,0.8226
40,11755,0.65,0.9674
11755,40,0.65,0.9674
40,5965,3.9,0.8052
5965,40,3.9,0.8052
40,13334,4.54,0.7732
13334,40,4.54,0.7732
40,3155,4.65,0.7673
3155,40,4.65,0.7673
40,10859,5.66,0.7172
10859,40,5.66,0.7172
40,10922,6.15,0.6926
10922,40,6.15,0.6926
40,872,6.27,0.6864
872,40,6.27,0.6864
40,13642,6.59,0.6707
13642,40,6.59,0.6707
41,13356,0.22,0.989
13356,41,0.22,0.989
41,6512,0.28,0.9862
6512,41,0.28,0.9862
41,3202,0.43,0.9785
3202,41,0.43,0.9785
41,1037,0.44,0.9778
1037,41,0.44,0.9778
41,11983,0.46,0.9772
11983,41,0.46,0.9772
41,6507,0.46,0.9768
